"Subject","Word","Pupil","Paragraph","Brightness","Story","Vividness","Suspense","Word_order"
"P02M26","story4_dark2_ugjennomsiktige",-0.146201025035177,"story4_dark2","dark","story4",5,6,7
"P02M26","story4_dark2_dunkle_5",-0.137392319798256,"story4_dark2","dark","story4",5,6,8
"P02M26","story4_dark2_kullsvarte",-0.11875740935695,"story4_dark2","dark","story4",5,6,9
"P02M26","story4_dark2_sorte_2",-0.103058614763702,"story4_dark2","dark","story4",5,6,10
"P04F26","story1_bright1_strålende",0.039501830757004,"story1_bright1","bright","story1",3,7,1
"P04F26","story1_bright1_sommerdag",0.0236427482758375,"story1_bright1","bright","story1",3,7,2
"P04F26","story1_bright1_solstrålene",0.139508974533563,"story1_bright1","bright","story1",3,7,3
"P04F26","story1_bright1_skinte",0.145153151665416,"story1_bright1","bright","story1",3,7,4
"P04F26","story1_bright1_skimret",0.0254620402602969,"story1_bright1","bright","story1",3,7,5
"P04F26","story1_bright1_blendende",-0.0255473592268789,"story1_bright1","bright","story1",3,7,6
"P04F26","story1_bright1_lyset",-0.0263727123937632,"story1_bright1","bright","story1",3,7,7
"P04F26","story1_bright1_glinset",-0.207848792989083,"story1_bright1","bright","story1",3,7,8
"P04F26","story1_bright1_solfylt",-0.110114644200962,"story1_bright1","bright","story1",3,7,9
"P04F26","story1_bright2_klare",0.0859803917061679,"story1_bright2","bright","story1",3,7,1
"P04F26","story1_bright2_lyset_2",0.101710257090089,"story1_bright2","bright","story1",3,7,2
"P04F26","story1_bright2_strålende_2",0.0591813407146805,"story1_bright2","bright","story1",3,7,3
"P04F26","story1_bright2_hvite",0.0265734911280569,"story1_bright2","bright","story1",3,7,4
"P04F26","story1_bright2_blendende_2",-0.0631403195237518,"story1_bright2","bright","story1",3,7,5
"P04F26","story1_bright2_dagslys",-0.124042070584599,"story1_bright2","bright","story1",3,7,6
"P04F26","story1_bright2_sollyset",-0.158281314818895,"story1_bright2","bright","story1",3,7,7
"P04F26","story1_bright2_gyllen",0.0605296310038735,"story1_bright2","bright","story1",3,7,8
"P04F26","story1_bright2_glød",-0.157335502685563,"story1_bright2","bright","story1",3,7,9
"P04F26","story1_bright2_glitrende",-0.145252632299392,"story1_bright2","bright","story1",3,7,10
"P04F26","story1_dark_sorte",0.128336534695188,"story1_dark","dark","story1",3,7,1
"P04F26","story1_dark_svarte",-0.0581782260397535,"story1_dark","dark","story1",3,7,2
"P04F26","story1_dark_skygger",0.0514329881824975,"story1_dark","dark","story1",3,7,3
"P04F26","story1_dark_bekmørk",-0.150744573780091,"story1_dark","dark","story1",3,7,4
"P04F26","story1_dark_natt",-0.150443343864226,"story1_dark","dark","story1",3,7,5
"P04F26","story1_dark_dunkle",-0.155713393479788,"story1_dark","dark","story1",3,7,6
"P04F26","story1_dark_skyggeområdet",-0.147336715094577,"story1_dark","dark","story1",3,7,7
"P04F26","story1_dark_kullsvart",-0.232121005127849,"story1_dark","dark","story1",3,7,8
